timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-02-19T16:17:42.453522,0.3,0.01,0.01,0.01,0.0
2026-02-19T16:17:43.452920,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:17:44.466081,0.2,0.05,0.01,0.01,0.0
2026-02-19T16:17:45.466929,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:17:46.476125,0.7,0.01,0.01,0.01,0.0
2026-02-19T16:17:47.477578,0.5,0.04,0.0,0.0,0.0
2026-02-19T16:17:48.486425,0.3,0.03,0.01,0.01,0.0
2026-02-19T16:17:49.493640,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:17:50.500544,0.6,0.04,0.0,0.0,0.0
2026-02-19T16:17:51.506633,0.5,0.02,0.01,0.01,0.0
2026-02-19T16:17:52.512127,0.6,0.06,0.01,0.01,0.0
2026-02-19T16:17:53.511240,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:17:54.519474,0.2,0.04,0.01,0.01,0.0
2026-02-19T16:17:55.527016,0.6,0.02,0.01,0.01,0.0
2026-02-19T16:17:56.532699,0.2,0.05,0.01,0.01,0.0
2026-02-19T16:17:57.535296,0.1,0.01,0.0,0.0,0.0
2026-02-19T16:17:58.544948,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:17:59.548794,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:00.552884,0.6,0.04,0.01,0.01,0.0
2026-02-19T16:18:01.558879,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:02.569423,0.2,0.05,0.01,0.01,0.0
2026-02-19T16:18:03.575388,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:04.580517,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:05.587340,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:06.592066,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:07.599756,0.5,0.02,0.01,0.01,0.0
2026-02-19T16:18:08.600305,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:09.606946,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:10.616102,0.5,0.01,0.01,0.01,0.0
2026-02-19T16:18:11.619096,0.2,0.05,0.01,0.01,0.0
2026-02-19T16:18:12.620003,0.2,0.06,0.01,0.01,0.0
2026-02-19T16:18:13.626603,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:14.630136,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:15.638209,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:18:16.647771,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:17.651828,0.4,0.05,0.01,0.01,0.0
2026-02-19T16:18:18.662805,0.3,0.05,0.01,0.01,0.0
2026-02-19T16:18:19.668058,0.1,0.01,0.01,0.01,0.0
2026-02-19T16:18:20.670491,0.2,0.04,0.01,0.01,0.0
2026-02-19T16:18:21.679291,0.1,0.04,0.01,0.01,0.0
2026-02-19T16:18:22.684054,0.1,0.01,0.0,0.0,0.0
2026-02-19T16:18:23.690152,0.6,0.06,0.01,0.01,0.0
2026-02-19T16:18:24.689137,0.4,0.01,0.01,0.01,0.0
2026-02-19T16:18:25.701333,0.4,0.04,0.0,0.0,0.0
2026-02-19T16:18:26.700392,0.0,0.05,0.01,0.01,0.0
2026-02-19T16:18:27.707107,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:28.716679,0.2,0.05,0.0,0.0,0.0
2026-02-19T16:18:29.725558,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:30.728311,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:31.736950,0.5,0.05,0.01,0.01,0.0
2026-02-19T16:18:32.743139,0.2,0.02,0.0,0.0,0.0
2026-02-19T16:18:33.748068,0.6,0.04,0.01,0.01,0.0
2026-02-19T16:18:34.754602,0.4,0.05,0.01,0.01,0.0
2026-02-19T16:18:35.758916,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:18:36.765433,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:37.768796,0.4,0.05,0.01,0.01,0.0
2026-02-19T16:18:38.777541,0.4,0.02,0.01,0.01,0.0
2026-02-19T16:18:39.781793,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:18:40.780016,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:41.794822,0.5,0.06,0.01,0.01,0.0
2026-02-19T16:18:42.798082,0.1,0.06,0.01,0.01,0.0
2026-02-19T16:18:43.806238,0.2,0.02,0.01,0.01,0.0
2026-02-19T16:18:44.811820,0.0,0.0,0.01,0.01,0.0
2026-02-19T16:18:45.817215,0.1,0.06,0.0,0.0,0.0
2026-02-19T16:18:46.814141,0.4,0.04,0.01,0.01,0.0
2026-02-19T16:18:47.829068,0.5,0.02,0.01,0.01,0.0
2026-02-19T16:18:48.835018,0.1,0.01,0.01,0.01,0.0
2026-02-19T16:18:49.837725,0.1,0.06,0.01,0.01,0.0
2026-02-19T16:18:50.842230,122.3,12.34,2.98,2.99,368.0
2026-02-19T16:18:51.853015,111.2,11.12,3.11,3.12,344.0
2026-02-19T16:18:52.857052,283.1,28.68,2.78,2.81,792.0
2026-02-19T16:18:53.865848,208.6,21.26,2.8,2.83,594.0
2026-02-19T16:18:54.867561,109.0,10.9,3.08,3.09,334.0
2026-02-19T16:18:55.878438,147.2,14.46,2.97,2.99,426.0
2026-02-19T16:18:56.884996,116.3,11.3,3.06,3.07,344.0
2026-02-19T16:18:57.889788,139.1,13.91,2.96,2.97,412.0
2026-02-19T16:18:58.890564,120.9,11.66,3.04,3.06,360.0
2026-02-19T16:18:59.899078,140.5,15.3,3.05,3.07,432.0
2026-02-19T16:19:00.909837,122.1,12.21,3.07,3.08,386.0
2026-02-19T16:19:01.912719,108.8,10.92,3.13,3.14,340.0
2026-02-19T16:19:02.914410,126.1,12.61,3.09,3.1,354.0
2026-02-19T16:19:03.919728,156.2,16.3,3.0,3.02,472.0
2026-02-19T16:19:04.927329,139.9,14.03,3.06,3.07,430.0
2026-02-19T16:19:05.940672,115.1,11.51,3.11,3.12,358.0
2026-02-19T16:19:06.945035,139.3,14.02,3.05,3.07,426.0
2026-02-19T16:19:07.952249,109.8,10.95,3.08,3.09,350.0
2026-02-19T16:19:08.958066,129.7,12.97,3.09,3.1,400.0
