timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-02-22T00:16:30.833414,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:31.837574,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:32.846575,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:33.850256,0.0,0.01,0.0,0.0,0.0
2026-02-22T00:16:34.857065,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:35.865169,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:36.868823,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:37.876492,0.0,0.0,0.0,0.0,0.0
2026-02-22T00:16:38.883012,0.0,0.01,0.0,0.0,0.0
2026-02-22T00:16:39.889313,91.4,8.96,3.18,3.19,287.0
2026-02-22T00:16:40.887860,138.5,13.85,2.95,2.96,400.0
2026-02-22T00:16:41.899466,83.6,8.44,3.13,3.14,265.0
2026-02-22T00:16:42.907736,79.1,7.91,3.14,3.15,247.0
2026-02-22T00:16:43.911058,105.7,10.58,3.09,3.1,328.0
2026-02-22T00:16:44.916779,85.3,8.53,3.14,3.15,269.0
2026-02-22T00:16:45.921064,85.5,8.54,3.14,3.15,269.0
2026-02-22T00:16:46.932296,70.0,7.01,3.15,3.16,267.0
2026-02-22T00:16:47.937505,78.1,7.81,3.16,3.17,247.0
2026-02-22T00:16:48.943695,79.2,7.92,3.16,3.17,251.0
2026-02-22T00:16:49.947610,106.6,10.66,3.1,3.11,341.0
2026-02-22T00:16:50.956536,85.5,8.55,3.16,3.16,274.0
2026-02-22T00:16:51.956975,85.6,8.56,3.16,3.16,270.0
2026-02-22T00:16:52.968475,85.6,9.02,3.14,3.15,277.0
2026-02-22T00:16:53.971306,80.6,8.06,3.16,3.17,256.0
2026-02-22T00:16:54.980304,87.7,8.76,3.16,3.16,277.0
2026-02-22T00:16:55.984595,113.1,11.31,3.11,3.12,352.0
2026-02-22T00:16:56.986981,94.3,9.48,3.14,3.15,300.0
2026-02-22T00:16:57.998460,87.8,8.78,3.16,3.16,277.0
2026-02-22T00:16:58.999912,93.9,9.39,3.14,3.15,295.0
2026-02-22T00:17:00.010465,82.3,8.23,3.16,3.17,267.0
2026-02-22T00:17:01.010192,87.8,8.77,3.16,3.17,277.0
2026-02-22T00:17:02.016408,113.7,8.53,3.16,3.17,259.0
2026-02-22T00:17:03.025246,108.9,11.24,3.11,3.12,356.0
2026-02-22T00:17:04.035064,88.0,8.8,3.16,3.17,279.0
2026-02-22T00:17:05.039594,62.2,6.23,3.21,3.21,198.0
2026-02-22T00:17:06.038525,118.6,11.86,3.1,3.11,378.0
2026-02-22T00:17:07.046369,87.5,9.37,3.15,3.16,297.0
2026-02-22T00:17:08.052351,87.7,8.77,3.16,3.17,277.0
2026-02-22T00:17:09.061832,111.8,11.19,3.12,3.13,349.0
2026-02-22T00:17:10.067547,93.8,9.38,3.15,3.16,295.0
2026-02-22T00:17:11.076443,91.4,9.15,3.15,3.16,288.0
2026-02-22T00:17:12.078491,93.8,9.38,3.14,3.15,262.0
2026-02-22T00:17:13.084110,85.1,8.51,3.16,3.17,269.0
2026-02-22T00:17:14.095110,87.7,8.77,3.16,3.16,277.0
2026-02-22T00:17:15.100638,108.4,10.82,3.12,3.13,338.0
2026-02-22T00:17:16.099107,93.8,9.39,3.14,3.15,295.0
2026-02-22T00:17:17.113160,87.8,8.78,3.16,3.16,277.0
2026-02-22T00:17:18.114987,93.8,7.88,3.17,3.18,242.0
2026-02-22T00:17:19.126221,81.2,8.12,3.16,3.17,257.0
2026-02-22T00:17:20.130204,87.6,8.76,3.16,3.16,277.0
2026-02-22T00:17:21.137177,108.5,10.85,3.12,3.13,338.0
2026-02-22T00:17:22.144606,93.8,9.38,3.14,3.15,295.0
2026-02-22T00:17:23.144983,87.7,8.77,3.15,3.16,277.0
2026-02-22T00:17:24.153614,76.9,9.09,3.14,3.15,293.0
2026-02-22T00:17:25.159489,79.8,8.06,3.16,3.17,256.0
2026-02-22T00:17:26.163451,87.5,8.73,3.16,3.16,275.0
2026-02-22T00:17:27.173541,108.8,11.24,3.1,3.12,354.0
2026-02-22T00:17:28.177314,62.1,6.21,3.2,3.21,202.0
2026-02-22T00:17:29.181081,104.3,10.03,3.13,3.14,292.0
2026-02-22T00:17:30.187231,126.2,11.56,3.1,3.12,352.0
2026-02-22T00:17:31.198137,100.5,10.05,3.13,3.14,319.0
2026-02-22T00:17:32.203106,84.8,8.47,3.16,3.17,267.0
2026-02-22T00:17:33.210909,119.2,11.93,3.09,3.1,374.0
2026-02-22T00:17:34.215256,92.7,9.27,3.14,3.15,295.0
2026-02-22T00:17:35.222165,93.7,9.37,3.14,3.15,295.0
2026-02-22T00:17:36.223671,91.0,9.08,3.15,3.16,287.0
2026-02-22T00:17:37.227819,90.3,9.34,3.14,3.15,295.0
2026-02-22T00:17:38.241493,84.8,8.48,3.16,3.17,269.0
2026-02-22T00:17:39.248704,87.7,8.77,3.15,3.16,277.0
2026-02-22T00:17:40.251317,108.2,10.84,3.11,3.12,338.0
2026-02-22T00:17:41.259292,93.8,9.39,3.14,3.15,295.0
2026-02-22T00:17:42.262791,88.5,8.85,3.15,3.16,277.0
2026-02-22T00:17:43.268471,93.7,7.96,3.17,3.18,242.0
2026-02-22T00:17:44.276838,81.5,8.15,3.16,3.17,259.0
2026-02-22T00:17:45.275987,87.6,8.76,3.15,3.16,275.0
2026-02-22T00:17:46.288742,108.1,10.81,3.12,3.13,331.0
2026-02-22T00:17:47.296399,93.8,9.39,3.14,3.15,295.0
2026-02-22T00:17:48.292942,87.8,8.76,3.16,3.16,277.0
2026-02-22T00:17:49.302711,93.6,9.36,3.14,3.15,308.0
2026-02-22T00:17:50.310261,80.4,8.08,3.17,3.18,256.0
2026-02-22T00:17:51.315542,87.3,8.73,3.16,3.16,277.0
2026-02-22T00:17:52.326879,111.7,11.38,3.11,3.12,352.0
2026-02-22T00:17:53.327050,63.2,6.26,3.17,3.18,280.0
2026-02-22T00:17:54.332883,94.4,9.44,3.15,3.16,280.0
2026-02-22T00:17:55.343692,117.4,11.34,3.11,3.12,324.0
2026-02-22T00:17:56.346470,102.3,10.28,3.13,3.14,326.0
2026-02-22T00:17:57.350605,85.0,8.5,3.16,3.17,269.0
2026-02-22T00:17:58.362826,119.1,11.92,3.1,3.11,370.0
2026-02-22T00:17:59.367870,92.2,9.28,3.15,3.16,300.0
2026-02-22T00:18:00.371965,93.9,9.39,3.15,3.16,295.0
2026-02-22T00:18:01.376820,91.0,9.1,3.15,3.16,287.0
2026-02-22T00:18:02.383410,87.2,8.72,3.16,3.16,282.0
2026-02-22T00:18:03.393118,84.8,8.5,3.16,3.17,269.0
2026-02-22T00:18:04.393092,119.5,11.95,3.1,3.11,383.0
2026-02-22T00:18:05.396269,89.0,8.92,3.16,3.16,311.0
2026-02-22T00:18:06.409787,93.9,9.38,3.14,3.15,295.0
2026-02-22T00:18:07.413322,87.5,8.75,3.16,3.17,277.0
2026-02-22T00:18:08.423666,87.7,8.94,3.15,3.16,293.0
2026-02-22T00:18:09.423630,81.7,8.17,3.17,3.18,259.0
2026-02-22T00:18:10.435534,119.4,10.31,3.15,3.16,280.0
2026-02-22T00:18:11.442004,89.7,8.97,3.12,3.13,328.0
2026-02-22T00:18:12.442896,93.8,9.39,3.15,3.16,295.0
2026-02-22T00:18:13.452219,87.3,8.72,3.16,3.17,275.0
2026-02-22T00:18:14.459938,88.2,9.03,3.15,3.16,293.0
2026-02-22T00:18:15.463762,81.9,8.18,3.17,3.18,259.0
2026-02-22T00:18:16.467120,119.3,9.26,3.16,3.17,279.0
2026-02-22T00:18:17.476081,96.7,10.55,3.12,3.13,338.0
2026-02-22T00:18:18.476248,64.1,6.41,3.2,3.21,205.0
2026-02-22T00:18:19.486105,122.8,12.28,3.09,3.1,380.0
2026-02-22T00:18:20.494918,79.0,7.9,3.17,3.18,272.0
2026-02-22T00:18:21.502149,79.1,7.92,3.18,3.18,252.0
2026-02-22T00:18:22.507103,87.1,8.71,3.16,3.17,288.0
2026-02-22T00:18:23.509419,85.4,8.53,3.16,3.17,270.0
2026-02-22T00:18:24.518199,79.2,7.92,3.17,3.18,252.0
2026-02-22T00:18:25.526287,79.8,7.98,3.17,3.18,252.0
2026-02-22T00:18:26.525495,85.3,8.53,3.16,3.17,270.0
2026-02-22T00:18:27.537281,85.4,8.53,3.16,3.17,270.0
2026-02-22T00:18:28.543510,79.6,7.97,3.17,3.18,252.0
2026-02-22T00:18:29.549087,106.7,10.67,3.12,3.13,333.0
2026-02-22T00:18:30.555175,108.4,10.84,3.12,3.13,338.0
2026-02-22T00:18:31.559378,81.8,8.19,3.17,3.18,259.0
2026-02-22T00:18:32.561840,115.2,11.53,3.1,3.12,357.0
2026-02-22T00:18:33.574838,94.4,9.98,3.14,3.15,297.0
2026-02-22T00:18:34.581306,104.6,10.47,3.14,3.15,282.0
2026-02-22T00:18:35.578737,108.3,10.84,3.12,3.13,329.0
2026-02-22T00:18:36.590149,88.2,8.82,3.16,3.17,270.0
2026-02-22T00:18:37.599677,85.3,8.56,3.16,3.17,270.0
2026-02-22T00:18:38.599453,91.1,9.11,3.15,3.16,287.0
2026-02-22T00:18:39.608372,110.4,10.97,3.12,3.13,341.0
2026-02-22T00:18:40.616467,131.8,13.37,3.07,3.08,413.0
2026-02-22T00:18:41.623932,109.7,10.97,3.12,3.13,342.0
2026-02-22T00:18:42.629207,80.9,8.01,3.17,3.18,256.0
2026-02-22T00:18:43.632272,109.5,10.95,3.12,3.13,341.0
2026-02-22T00:18:44.642587,122.8,12.23,3.09,3.1,382.0
2026-02-22T00:18:45.642771,85.1,8.5,3.16,3.17,269.0
2026-02-22T00:18:46.652986,116.0,11.6,3.1,3.12,360.0
2026-02-22T00:18:47.658934,95.7,9.25,3.14,3.15,301.0
2026-02-22T00:18:48.667141,115.9,11.59,3.1,3.12,360.0
2026-02-22T00:18:49.665960,87.6,8.84,3.16,3.16,279.0
2026-02-22T00:18:50.677587,115.5,11.56,3.11,3.12,360.0
2026-02-22T00:18:51.684609,132.6,13.26,3.07,3.09,408.0
2026-02-22T00:18:52.690969,139.6,14.04,3.06,3.07,431.0
2026-02-22T00:18:53.696369,109.5,10.95,3.12,3.13,342.0
2026-02-22T00:18:54.695591,112.0,11.2,3.12,3.13,349.0
2026-02-22T00:18:55.708919,109.7,10.96,3.12,3.13,342.0
2026-02-22T00:18:56.711961,127.1,13.25,3.07,3.08,411.0
2026-02-22T00:18:57.719247,122.3,12.23,3.12,3.13,344.0
2026-02-22T00:18:58.725936,81.7,8.17,3.17,3.18,259.0
2026-02-22T00:18:59.728085,111.2,11.12,3.12,3.13,346.0
2026-02-22T00:19:00.738928,105.6,10.56,3.13,3.14,288.0
2026-02-22T00:19:01.736968,85.3,8.52,3.16,3.17,269.0
2026-02-22T00:19:02.753179,120.8,12.08,3.1,3.11,365.0
2026-02-22T00:19:03.759143,79.3,8.0,3.17,3.18,256.0
2026-02-22T00:19:04.756092,111.7,10.06,3.14,3.15,328.0
2026-02-22T00:19:05.765845,89.8,8.98,3.16,3.16,279.0
2026-02-22T00:19:06.777568,115.4,11.56,3.11,3.12,359.0
2026-02-22T00:19:07.783839,112.8,11.28,3.11,3.12,351.0
2026-02-22T00:19:08.782226,130.6,12.93,3.08,3.1,400.0
2026-02-22T00:19:09.787430,136.7,13.67,3.06,3.08,416.0
2026-02-22T00:19:10.795835,91.2,9.12,3.15,3.16,288.0
2026-02-22T00:19:11.799457,117.7,13.22,3.07,3.09,416.0
2026-02-22T00:19:12.813518,107.4,10.83,3.12,3.13,338.0
2026-02-22T00:19:13.817542,115.8,11.58,3.11,3.12,360.0
2026-02-22T00:19:14.817654,134.3,13.42,3.08,3.09,408.0
2026-02-22T00:19:15.826590,142.5,14.31,3.05,3.07,452.0
2026-02-22T00:19:16.838279,109.6,10.96,3.12,3.13,342.0
2026-02-22T00:19:17.836083,135.4,13.58,3.06,3.08,418.0
2026-02-22T00:19:18.848712,110.0,10.99,3.12,3.13,342.0
2026-02-22T00:19:19.855535,133.0,13.3,3.07,3.09,406.0
2026-02-22T00:19:20.861058,109.7,10.97,3.12,3.13,342.0
2026-02-22T00:19:21.867469,131.6,13.24,3.08,3.09,408.0
2026-02-22T00:19:22.874511,110.3,11.03,3.12,3.13,344.0
2026-02-22T00:19:23.877976,109.9,11.03,3.12,3.13,328.0
2026-02-22T00:19:24.887575,86.4,8.53,3.17,3.18,269.0
2026-02-22T00:19:25.894285,109.7,10.97,3.12,3.13,342.0
2026-02-22T00:19:26.896703,82.0,8.2,3.17,3.18,261.0
