timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-02-22T01:36:27.966907,158.0,18.43,3.22,3.24,606.0
2026-02-22T01:36:27.986089,184.5,18.45,3.23,3.25,596.0
2026-02-22T01:36:28.012393,159.8,16.53,3.23,3.25,590.0
2026-02-22T01:36:28.038183,171.9,17.56,3.22,3.24,539.0
2026-02-22T01:36:28.079200,220.1,22.01,3.22,3.24,647.0
2026-02-22T01:36:28.096810,183.2,18.32,3.22,3.24,593.0
2026-02-22T01:36:28.117974,150.3,15.04,3.23,3.24,569.0
2026-02-22T01:36:28.141532,183.6,17.35,3.23,3.25,560.0
2026-02-22T01:36:28.170182,162.7,16.27,3.23,3.25,570.0
2026-02-22T01:36:28.195895,174.7,17.39,3.23,3.25,593.0
2026-02-22T01:36:28.223970,167.0,16.24,3.24,3.25,557.0
2026-02-22T01:36:28.244172,183.4,18.34,3.23,3.25,598.0
2026-02-22T01:36:28.273324,150.6,15.06,3.24,3.25,496.0
2026-02-22T01:36:28.303687,186.1,18.77,3.23,3.25,580.0
2026-02-22T01:36:28.328352,159.5,16.57,3.23,3.25,619.0
2026-02-22T01:36:28.355525,193.9,19.39,3.22,3.24,619.0
2026-02-22T01:36:28.376239,169.4,16.13,3.24,3.25,514.0
2026-02-22T01:36:28.405769,177.1,17.7,3.23,3.25,601.0
2026-02-22T01:36:28.426329,152.4,15.24,3.24,3.25,498.0
2026-02-22T01:36:28.457600,189.7,19.45,3.22,3.24,613.0
2026-02-22T01:36:28.488470,173.6,15.37,3.24,3.26,508.0
2026-02-22T01:36:28.514141,176.5,17.65,3.22,3.24,572.0
2026-02-22T01:36:28.532936,165.8,16.58,3.23,3.25,542.0
2026-02-22T01:36:28.561950,187.1,19.16,3.22,3.24,569.0
2026-02-22T01:36:28.590922,159.6,15.61,3.23,3.25,532.0
2026-02-22T01:36:28.619439,182.9,18.29,3.23,3.25,603.0
2026-02-22T01:36:28.638305,157.4,16.86,3.24,3.25,542.0
2026-02-22T01:36:28.667674,182.9,17.95,3.22,3.24,780.0
2026-02-22T01:36:28.696873,150.2,15.02,3.24,3.25,493.0
2026-02-22T01:36:28.723739,186.1,18.32,3.23,3.25,618.0
2026-02-22T01:36:28.744832,164.5,15.94,3.23,3.25,500.0
2026-02-22T01:36:28.775384,172.7,17.27,3.22,3.24,564.0
2026-02-22T01:36:28.803733,163.5,16.35,3.24,3.26,498.0
2026-02-22T01:36:28.824341,179.0,17.9,3.22,3.24,596.0
2026-02-22T01:36:28.854970,171.9,17.29,3.23,3.25,578.0
2026-02-22T01:36:28.875081,193.9,19.39,3.23,3.25,598.0
2026-02-22T01:36:28.905983,153.6,15.76,3.24,3.25,516.0
2026-02-22T01:36:28.936191,172.4,17.32,3.23,3.25,554.0
2026-02-22T01:36:28.956006,162.8,16.28,3.24,3.25,523.0
2026-02-22T01:36:28.988671,178.7,18.34,3.23,3.25,588.0
2026-02-22T01:36:29.015406,171.5,15.35,3.24,3.25,485.0
2026-02-22T01:36:29.034902,191.4,19.14,3.23,3.25,593.0
2026-02-22T01:36:29.063090,153.8,15.38,3.24,3.26,496.0
2026-02-22T01:36:29.093144,172.3,18.23,3.23,3.25,560.0
2026-02-22T01:36:29.119473,168.3,17.39,3.23,3.25,534.0
2026-02-22T01:36:29.146435,194.6,19.46,3.22,3.24,573.0
2026-02-22T01:36:29.166379,160.6,15.01,3.23,3.25,495.0
2026-02-22T01:36:29.195441,183.7,18.97,3.23,3.25,588.0
2026-02-22T01:36:29.224443,160.4,16.04,3.24,3.25,521.0
2026-02-22T01:36:29.251710,177.0,18.29,3.23,3.25,569.0
2026-02-22T01:36:29.272564,159.2,16.7,3.24,3.25,544.0
2026-02-22T01:36:29.301981,175.9,18.42,3.23,3.25,598.0
2026-02-22T01:36:29.332175,151.2,15.12,3.23,3.25,514.0
2026-02-22T01:36:29.353891,193.3,19.24,3.22,3.24,619.0
2026-02-22T01:36:29.385070,162.3,16.32,3.24,3.25,534.0
2026-02-22T01:36:29.408700,185.3,18.53,3.22,3.23,596.0
2026-02-22T01:36:29.437589,150.4,14.97,3.24,3.25,488.0
2026-02-22T01:36:29.458284,185.8,18.56,3.23,3.25,577.0
2026-02-22T01:36:29.488841,151.6,15.16,3.24,3.25,495.0
2026-02-22T01:36:29.509760,175.5,17.55,3.22,3.24,569.0
2026-02-22T01:36:29.541720,164.7,17.3,3.24,3.26,531.0
2026-02-22T01:36:29.568405,175.2,17.75,3.22,3.24,567.0
2026-02-22T01:36:29.594624,217.6,21.76,3.2,3.23,718.0
2026-02-22T01:36:29.619919,190.1,18.82,3.23,3.25,606.0
2026-02-22T01:36:29.648762,157.1,15.3,3.24,3.26,511.0
2026-02-22T01:36:29.675414,182.6,18.26,3.23,3.25,585.0
2026-02-22T01:36:29.694691,173.6,16.79,3.24,3.25,532.0
2026-02-22T01:36:29.724144,177.9,18.13,3.23,3.25,572.0
2026-02-22T01:36:29.751655,149.8,14.98,3.24,3.25,496.0
2026-02-22T01:36:29.771787,188.8,18.88,3.22,3.24,618.0
2026-02-22T01:36:29.800667,157.4,15.69,3.23,3.24,532.0
2026-02-22T01:36:29.831537,189.6,17.31,3.22,3.24,577.0
2026-02-22T01:36:29.858034,169.6,16.96,3.23,3.25,546.0
2026-02-22T01:36:29.884909,178.2,17.85,3.22,3.24,578.0
2026-02-22T01:36:29.905561,169.2,15.36,3.24,3.25,485.0
2026-02-22T01:36:29.934936,180.2,18.02,3.23,3.25,611.0
2026-02-22T01:36:29.963793,164.7,15.41,3.24,3.26,510.0
2026-02-22T01:36:29.984917,176.0,19.18,3.22,3.24,565.0
2026-02-22T01:36:30.010692,152.1,15.21,3.24,3.26,492.0
2026-02-22T01:36:30.042462,179.3,17.93,3.22,3.24,577.0
2026-02-22T01:36:30.068980,173.8,17.73,3.23,3.25,577.0
2026-02-22T01:36:30.093338,160.6,15.09,3.24,3.25,490.0
2026-02-22T01:36:30.120527,180.9,18.09,3.23,3.25,587.0
2026-02-22T01:36:30.149575,172.2,17.34,3.23,3.25,560.0
2026-02-22T01:36:30.174891,151.8,15.18,3.24,3.25,488.0
2026-02-22T01:36:30.200870,178.4,17.84,3.22,3.24,595.0
2026-02-22T01:36:30.226159,186.1,18.2,3.22,3.24,569.0
2026-02-22T01:36:30.254049,161.1,15.13,3.24,3.26,490.0
2026-02-22T01:36:30.274835,162.8,16.28,3.23,3.24,596.0
2026-02-22T01:36:30.302557,183.9,18.39,3.22,3.24,559.0
2026-02-22T01:36:30.332922,151.6,16.79,3.24,3.25,500.0
2026-02-22T01:36:30.358866,173.0,17.97,3.23,3.25,593.0
2026-02-22T01:36:30.387231,174.8,17.48,3.22,3.24,588.0
2026-02-22T01:36:30.413509,187.8,15.1,3.24,3.25,511.0
2026-02-22T01:36:30.438393,162.3,16.33,3.24,3.25,537.0
2026-02-22T01:36:30.456965,174.7,17.47,3.22,3.24,570.0
2026-02-22T01:36:30.488220,195.6,19.23,3.23,3.25,508.0
2026-02-22T01:36:30.517243,234.2,23.68,3.2,3.23,762.0
2026-02-22T01:36:30.544165,175.9,17.59,3.22,3.24,570.0
