timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-03-19T23:43:35.670633,391.7,43.34,1.04,1.08,436.0
2026-03-19T23:43:35.680995,424.2,42.42,1.04,1.08,430.0
2026-03-19T23:43:35.684947,403.8,42.31,1.04,1.08,456.0
2026-03-19T23:43:35.693946,442.6,42.59,1.04,1.09,456.0
2026-03-19T23:43:35.701107,483.9,48.39,1.04,1.09,452.0
2026-03-19T23:43:35.708945,398.6,42.84,1.04,1.08,436.0
2026-03-19T23:43:35.719231,396.3,39.63,1.04,1.08,432.0
2026-03-19T23:43:35.730253,414.3,43.3,1.04,1.08,442.0
2026-03-19T23:43:35.735490,442.0,43.55,1.04,1.08,448.0
2026-03-19T23:43:35.748391,393.5,39.35,1.04,1.08,436.0
2026-03-19T23:43:35.755987,432.4,40.93,1.04,1.08,432.0
2026-03-19T23:43:35.767911,373.0,34.31,1.04,1.07,396.0
2026-03-19T23:43:35.774106,358.1,35.81,1.04,1.08,400.0
2026-03-19T23:43:35.781791,370.5,35.79,1.04,1.08,380.0
2026-03-19T23:43:35.791592,366.9,35.18,1.04,1.08,384.0
2026-03-19T23:43:35.800336,365.6,36.56,1.04,1.08,376.0
2026-03-19T23:43:35.809417,378.6,33.89,1.04,1.07,400.0
2026-03-19T23:43:35.818121,365.5,36.55,1.04,1.08,404.0
2026-03-19T23:43:35.826519,372.6,31.36,1.04,1.07,396.0
2026-03-19T23:43:35.834732,365.1,37.06,1.04,1.08,384.0
2026-03-19T23:43:35.842982,349.8,34.98,1.04,1.08,338.0
2026-03-19T23:43:35.848579,380.7,35.21,1.04,1.08,390.0
2026-03-19T23:43:35.861202,381.8,38.61,1.04,1.08,380.0
2026-03-19T23:43:35.869461,369.0,36.9,1.04,1.08,360.0
2026-03-19T23:43:35.879478,369.6,37.53,1.04,1.08,400.0
2026-03-19T23:43:35.887573,364.0,35.45,1.04,1.08,344.0
2026-03-19T23:43:35.896304,369.0,36.9,1.04,1.08,404.0
2026-03-19T23:43:35.903880,390.1,38.57,1.04,1.07,376.0
2026-03-19T23:43:35.912936,410.0,41.0,1.04,1.08,420.0
2026-03-19T23:43:35.920205,383.6,38.68,1.04,1.08,370.0
2026-03-19T23:43:35.928388,364.4,36.92,1.04,1.08,384.0
2026-03-19T23:43:35.936515,372.8,37.28,1.04,1.08,406.0
2026-03-19T23:43:35.946323,378.3,37.07,1.04,1.08,368.0
2026-03-19T23:43:35.955757,359.2,37.32,1.04,1.08,394.0
2026-03-19T23:43:35.963096,349.6,34.96,1.04,1.07,364.0
2026-03-19T23:43:35.969662,373.8,37.04,1.04,1.08,386.0
2026-03-19T23:43:35.979960,350.7,38.5,1.04,1.08,396.0
2026-03-19T23:43:35.988367,367.6,36.76,1.04,1.08,340.0
2026-03-19T23:43:35.998748,337.0,37.7,1.04,1.08,404.0
2026-03-19T23:43:36.002322,356.0,35.6,1.04,1.08,368.0
2026-03-19T23:43:36.013364,357.4,38.71,1.04,1.08,404.0
2026-03-19T23:43:36.023738,349.0,36.97,1.04,1.08,380.0
2026-03-19T23:43:36.029922,331.1,33.11,1.04,1.07,396.0
2026-03-19T23:43:36.042409,351.0,38.86,1.04,1.08,390.0
2026-03-19T23:43:36.048947,353.0,35.1,1.04,1.08,368.0
2026-03-19T23:43:36.059094,338.0,33.8,1.04,1.08,400.0
2026-03-19T23:43:36.065819,370.4,37.58,1.04,1.08,376.0
2026-03-19T23:43:36.070928,373.4,34.83,1.04,1.07,394.0
2026-03-19T23:43:36.083919,350.3,35.03,1.04,1.08,400.0
2026-03-19T23:43:36.087377,349.7,34.52,1.04,1.07,384.0
2026-03-19T23:43:36.097704,364.2,36.42,1.04,1.08,390.0
2026-03-19T23:43:36.110229,368.1,36.24,1.04,1.08,376.0
2026-03-19T23:43:36.116697,381.1,34.62,1.04,1.07,394.0
2026-03-19T23:43:36.126217,369.6,36.96,1.04,1.08,364.0
2026-03-19T23:43:36.133387,368.7,34.72,1.04,1.08,404.0
2026-03-19T23:43:36.141613,369.3,36.42,1.04,1.08,386.0
