timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-03-07T20:01:27.365221,234.9,23.35,1.05,1.07,246.0
2026-03-07T20:01:27.393249,193.8,19.38,1.05,1.07,206.0
2026-03-07T20:01:27.419744,236.9,23.69,1.04,1.07,250.0
2026-03-07T20:01:27.446457,220.8,24.34,1.05,1.08,242.0
2026-03-07T20:01:27.472224,212.9,20.03,1.04,1.06,200.0
2026-03-07T20:01:27.498902,228.0,22.8,1.05,1.07,210.0
2026-03-07T20:01:27.525155,218.7,22.34,1.04,1.07,242.0
2026-03-07T20:01:27.551575,214.8,22.15,1.05,1.07,230.0
2026-03-07T20:01:27.578208,227.1,22.71,1.05,1.07,242.0
2026-03-07T20:01:27.604588,219.5,22.07,1.04,1.07,232.0
2026-03-07T20:01:27.630315,215.8,21.73,1.05,1.07,230.0
2026-03-07T20:01:27.654015,217.8,21.78,1.04,1.06,226.0
2026-03-07T20:01:27.683648,201.7,20.17,1.05,1.07,226.0
2026-03-07T20:01:27.708995,228.7,22.46,1.05,1.07,230.0
2026-03-07T20:01:27.731661,216.3,21.71,1.04,1.07,226.0
2026-03-07T20:01:27.762260,206.7,20.67,1.05,1.07,210.0
2026-03-07T20:01:27.789314,232.3,22.64,1.04,1.06,232.0
2026-03-07T20:01:27.812536,214.8,21.74,1.05,1.07,230.0
2026-03-07T20:01:27.840445,203.6,20.36,1.04,1.06,226.0
2026-03-07T20:01:27.867981,230.4,21.95,1.05,1.07,212.0
2026-03-07T20:01:27.894725,221.7,21.72,1.05,1.07,230.0
2026-03-07T20:01:27.918947,234.1,23.41,1.04,1.07,246.0
2026-03-07T20:01:27.947829,231.6,23.14,1.05,1.08,252.0
2026-03-07T20:01:27.970551,230.1,22.68,1.04,1.06,230.0
2026-03-07T20:01:27.998837,220.7,22.07,1.05,1.07,230.0
2026-03-07T20:01:28.025194,233.0,23.3,1.04,1.07,242.0
2026-03-07T20:01:28.052828,194.3,20.57,1.04,1.06,226.0
2026-03-07T20:01:28.078851,227.8,21.84,1.05,1.07,232.0
2026-03-07T20:01:28.101391,221.0,22.1,1.04,1.06,252.0
2026-03-07T20:01:28.131324,194.6,19.38,1.06,1.08,210.0
2026-03-07T20:01:28.158613,226.6,22.58,1.04,1.07,226.0
2026-03-07T20:01:28.181639,219.3,21.93,1.05,1.07,232.0
2026-03-07T20:01:28.210763,210.1,19.45,1.05,1.07,210.0
