timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-03-08T22:51:47.720966,226.7,22.67,1.05,1.07,230.0
2026-03-08T22:51:47.748507,216.3,21.63,1.04,1.07,242.0
2026-03-08T22:51:47.774842,196.2,19.59,1.05,1.07,222.0
2026-03-08T22:51:47.800801,204.8,20.08,1.04,1.06,230.0
2026-03-08T22:51:47.826424,218.6,21.86,1.06,1.08,230.0
2026-03-08T22:51:47.852351,230.0,22.54,1.04,1.07,230.0
2026-03-08T22:51:47.879002,220.2,21.86,1.05,1.07,230.0
2026-03-08T22:51:47.906519,230.8,23.08,1.05,1.08,230.0
2026-03-08T22:51:47.932670,305.9,29.86,1.04,1.07,302.0
2026-03-08T22:51:47.958681,220.6,22.08,1.06,1.08,236.0
2026-03-08T22:51:47.985492,195.5,19.55,1.04,1.06,226.0
2026-03-08T22:51:48.009958,230.1,23.01,1.05,1.08,236.0
2026-03-08T22:51:48.037750,217.6,21.94,1.05,1.07,230.0
2026-03-08T22:51:48.061871,193.0,19.44,1.05,1.07,212.0
2026-03-08T22:51:48.089881,231.4,23.14,1.05,1.08,242.0
2026-03-08T22:51:48.116180,231.3,22.19,1.04,1.06,236.0
2026-03-08T22:51:48.139810,193.9,19.34,1.06,1.08,204.0
2026-03-08T22:51:48.168886,209.5,20.95,1.04,1.06,240.0
2026-03-08T22:51:48.196234,226.9,22.25,1.05,1.07,226.0
2026-03-08T22:51:48.219320,216.1,21.55,1.06,1.08,222.0
2026-03-08T22:51:48.246202,232.6,23.26,1.04,1.06,250.0
2026-03-08T22:51:48.275472,228.9,22.89,1.06,1.08,240.0
2026-03-08T22:51:48.298154,216.4,21.52,1.04,1.07,230.0
2026-03-08T22:51:48.328355,213.1,22.99,1.05,1.07,242.0
2026-03-08T22:51:48.354244,209.2,20.92,1.05,1.07,240.0
2026-03-08T22:51:48.375976,221.2,21.96,1.04,1.07,236.0
2026-03-08T22:51:48.406357,218.7,21.56,1.05,1.07,246.0
2026-03-08T22:51:48.429415,197.0,19.7,1.05,1.07,204.0
2026-03-08T22:51:48.456308,220.1,22.18,1.06,1.08,232.0
2026-03-08T22:51:48.486377,233.2,21.47,1.04,1.07,230.0
2026-03-08T22:51:48.512518,201.2,20.12,1.04,1.06,226.0
2026-03-08T22:51:48.538533,199.5,19.95,1.05,1.07,230.0
2026-03-08T22:51:48.565975,216.7,23.42,1.04,1.07,226.0
2026-03-08T22:51:48.592113,230.5,23.57,1.06,1.08,226.0
2026-03-08T22:51:48.618205,219.1,21.91,1.04,1.06,230.0
2026-03-08T22:51:48.643895,214.7,21.9,1.05,1.07,242.0
2026-03-08T22:51:48.671066,238.1,23.76,1.05,1.08,230.0
2026-03-08T22:51:48.695971,219.8,21.98,1.05,1.07,230.0
2026-03-08T22:51:48.722723,194.2,21.71,1.06,1.08,230.0
2026-03-08T22:51:48.748439,230.8,23.17,1.04,1.07,240.0
2026-03-08T22:51:48.776288,221.7,22.17,1.06,1.08,240.0
2026-03-08T22:51:48.802224,204.4,20.44,1.04,1.06,206.0
2026-03-08T22:51:48.829551,231.4,23.1,1.05,1.07,242.0
2026-03-08T22:51:48.855349,297.8,28.9,1.05,1.08,302.0
2026-03-08T22:51:48.881148,194.0,19.4,1.04,1.06,204.0
2026-03-08T22:51:48.908553,197.7,22.98,1.05,1.07,246.0
2026-03-08T22:51:48.935306,224.5,22.65,1.04,1.07,240.0
2026-03-08T22:51:48.961614,215.4,21.54,1.05,1.07,216.0
2026-03-08T22:51:48.987469,220.0,21.71,1.05,1.07,240.0
2026-03-08T22:51:49.012559,219.6,22.12,1.05,1.07,240.0
2026-03-08T22:51:49.040714,216.1,21.61,1.05,1.07,230.0
2026-03-08T22:51:49.066115,221.9,22.19,1.04,1.07,232.0
2026-03-08T22:51:49.093281,235.5,23.48,1.06,1.08,250.0
2026-03-08T22:51:49.117227,217.7,21.53,1.04,1.07,230.0
2026-03-08T22:51:49.145521,233.5,23.35,1.05,1.08,232.0
2026-03-08T22:51:49.165941,209.1,19.61,1.05,1.07,210.0
2026-03-08T22:51:49.197993,223.5,21.97,1.04,1.07,240.0
2026-03-08T22:51:49.225344,217.9,21.79,1.05,1.07,246.0
2026-03-08T22:51:49.250756,210.8,21.03,1.04,1.07,204.0
2026-03-08T22:51:49.276495,196.3,21.9,1.05,1.07,230.0
2026-03-08T22:51:49.302414,216.1,21.61,1.04,1.07,226.0
2026-03-08T22:51:49.328330,230.4,23.58,1.05,1.07,226.0
2026-03-08T22:51:49.356061,229.1,21.81,1.05,1.07,216.0
2026-03-08T22:51:49.380567,218.0,21.8,1.04,1.07,226.0
2026-03-08T22:51:49.409845,231.5,23.15,1.06,1.08,242.0
2026-03-08T22:51:49.435978,220.7,21.84,1.04,1.06,230.0
2026-03-08T22:51:49.462591,217.7,21.91,1.05,1.07,236.0
2026-03-08T22:51:49.486378,235.4,23.54,1.05,1.07,242.0
2026-03-08T22:51:49.515489,220.9,22.3,1.04,1.07,232.0
2026-03-08T22:51:49.541716,193.3,19.32,1.05,1.07,206.0
2026-03-08T22:51:49.566451,216.3,21.63,1.04,1.07,240.0
2026-03-08T22:51:49.590424,235.7,24.28,1.05,1.08,246.0
2026-03-08T22:51:49.619150,204.6,19.4,1.05,1.07,204.0
2026-03-08T22:51:49.646262,215.0,21.5,1.05,1.07,242.0
2026-03-08T22:51:49.672108,218.7,21.87,1.05,1.07,236.0
2026-03-08T22:51:49.696168,214.9,20.86,1.04,1.06,204.0
2026-03-08T22:51:49.726054,233.9,21.77,1.06,1.08,212.0
2026-03-08T22:51:49.752556,228.6,22.86,1.04,1.07,230.0
2026-03-08T22:51:49.778478,294.0,29.14,1.04,1.07,308.0
2026-03-08T22:51:49.805602,290.6,30.76,1.05,1.08,304.0
2026-03-08T22:51:49.827184,307.4,30.74,1.04,1.07,308.0
2026-03-08T22:51:49.858242,291.4,29.5,1.05,1.08,312.0
2026-03-08T22:51:49.879941,298.0,30.06,1.04,1.07,322.0
2026-03-08T22:51:49.908483,284.5,28.45,1.05,1.08,298.0
2026-03-08T22:51:49.936429,293.1,29.31,1.04,1.07,308.0
2026-03-08T22:51:49.963847,293.9,28.89,1.04,1.07,304.0
2026-03-08T22:51:49.988372,209.6,21.56,1.05,1.07,226.0
2026-03-08T22:51:50.016231,230.1,23.01,1.04,1.07,226.0
2026-03-08T22:51:50.043348,215.4,21.82,1.06,1.08,230.0
2026-03-08T22:51:50.068694,228.1,21.04,1.04,1.07,220.0
2026-03-08T22:51:50.095571,309.3,30.93,1.05,1.08,312.0
2026-03-08T22:51:50.121857,290.7,29.76,1.05,1.08,308.0
2026-03-08T22:51:50.148092,300.9,31.09,1.04,1.07,322.0
2026-03-08T22:51:50.168475,292.4,29.24,1.05,1.08,308.0
2026-03-08T22:51:50.198692,217.6,21.76,1.04,1.06,226.0
2026-03-08T22:51:50.227715,224.8,21.78,1.05,1.07,242.0
2026-03-08T22:51:50.252731,219.2,22.65,1.05,1.07,236.0
2026-03-08T22:51:50.276409,203.0,20.3,1.05,1.07,204.0
2026-03-08T22:51:50.306053,232.8,22.7,1.06,1.08,226.0
2026-03-08T22:51:50.331754,230.5,21.77,1.04,1.07,230.0
2026-03-08T22:51:50.357882,193.9,19.39,1.06,1.08,206.0
2026-03-08T22:51:50.385686,217.8,23.28,1.04,1.06,236.0
2026-03-08T22:51:50.407970,232.9,23.7,1.05,1.08,226.0
2026-03-08T22:51:50.438467,193.5,19.35,1.05,1.07,206.0
2026-03-08T22:51:50.466318,216.7,21.67,1.04,1.07,246.0
2026-03-08T22:51:50.490492,232.7,23.13,1.05,1.08,240.0
2026-03-08T22:51:50.516251,194.0,19.88,1.04,1.06,204.0
2026-03-08T22:51:50.544208,204.2,20.42,1.06,1.08,230.0
2026-03-08T22:51:50.569233,234.2,23.2,1.04,1.07,242.0
