timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-03-08T23:19:30.742384,231.0,23.1,1.06,1.08,242.0
2026-03-08T23:19:30.768973,194.5,19.49,1.04,1.06,206.0
2026-03-08T23:19:30.792946,218.3,21.64,1.05,1.07,226.0
2026-03-08T23:19:30.820540,305.9,30.59,1.05,1.08,330.0
2026-03-08T23:19:30.849122,272.3,28.17,1.04,1.07,286.0
2026-03-08T23:19:30.875613,291.8,29.48,1.05,1.08,308.0
2026-03-08T23:19:30.901514,229.0,22.9,1.04,1.06,242.0
2026-03-08T23:19:30.928226,203.6,20.36,1.06,1.08,206.0
2026-03-08T23:19:30.950668,216.5,21.29,1.05,1.07,206.0
2026-03-08T23:19:30.979336,223.7,23.95,1.05,1.07,242.0
2026-03-08T23:19:31.007937,297.8,29.78,1.05,1.08,312.0
2026-03-08T23:19:31.032644,293.8,29.2,1.04,1.07,304.0
2026-03-08T23:19:31.059342,219.0,21.83,1.06,1.08,246.0
2026-03-08T23:19:31.080887,218.4,21.84,1.04,1.06,240.0
2026-03-08T23:19:31.108808,239.6,30.0,1.04,1.07,308.0
2026-03-08T23:19:31.138450,213.9,19.89,1.05,1.07,226.0
2026-03-08T23:19:31.162822,227.0,22.7,1.05,1.07,230.0
2026-03-08T23:19:31.191303,216.6,21.66,1.05,1.07,226.0
2026-03-08T23:19:31.218594,194.8,21.11,1.04,1.06,206.0
2026-03-08T23:19:31.243451,234.0,23.77,1.05,1.08,232.0
2026-03-08T23:19:31.270787,217.5,21.75,1.04,1.07,230.0
2026-03-08T23:19:31.297707,217.0,19.54,1.05,1.07,226.0
2026-03-08T23:19:31.320977,231.6,21.22,1.06,1.08,226.0
2026-03-08T23:19:31.348665,215.9,21.59,1.04,1.07,230.0
2026-03-08T23:19:31.376414,226.2,22.24,1.06,1.08,236.0
2026-03-08T23:19:31.401079,232.2,23.18,1.04,1.07,242.0
2026-03-08T23:19:31.428581,291.4,29.14,1.05,1.08,304.0
2026-03-08T23:19:31.450524,220.2,22.02,1.05,1.07,226.0
2026-03-08T23:19:31.480633,226.1,23.15,1.04,1.07,250.0
2026-03-08T23:19:31.508864,196.9,20.76,1.05,1.07,232.0
2026-03-08T23:19:31.532969,217.8,21.78,1.04,1.07,226.0
2026-03-08T23:19:31.561428,218.2,22.82,1.06,1.08,242.0
2026-03-08T23:19:31.587770,196.2,19.68,1.05,1.07,206.0
2026-03-08T23:19:31.611019,218.4,21.84,1.05,1.07,226.0
2026-03-08T23:19:31.641140,233.5,21.86,1.05,1.07,252.0
2026-03-08T23:19:31.666283,203.3,19.79,1.05,1.07,206.0
2026-03-08T23:19:31.693267,214.2,21.42,1.05,1.07,204.0
2026-03-08T23:19:31.718782,232.8,21.87,1.04,1.06,230.0
2026-03-08T23:19:31.744637,232.8,21.82,1.05,1.07,236.0
2026-03-08T23:19:31.771540,217.1,21.71,1.05,1.07,232.0
2026-03-08T23:19:31.798594,234.9,23.49,1.04,1.07,230.0
2026-03-08T23:19:31.824654,231.9,23.12,1.06,1.08,230.0
2026-03-08T23:19:31.850596,217.7,21.63,1.04,1.06,226.0
2026-03-08T23:19:31.878048,206.8,20.68,1.06,1.08,246.0
2026-03-08T23:19:31.902348,236.1,23.46,1.05,1.07,252.0
2026-03-08T23:19:31.930539,219.9,21.42,1.05,1.07,230.0
2026-03-08T23:19:31.953448,195.2,19.52,1.06,1.08,206.0
2026-03-08T23:19:31.982744,233.5,23.24,1.04,1.07,242.0
2026-03-08T23:19:32.011575,222.4,21.69,1.06,1.08,230.0
2026-03-08T23:19:32.034433,276.6,27.35,1.04,1.07,288.0
2026-03-08T23:19:32.062077,212.4,21.24,1.05,1.07,230.0
2026-03-08T23:19:32.088649,215.3,21.84,1.05,1.07,226.0
2026-03-08T23:19:32.115167,216.9,21.72,1.04,1.07,226.0
2026-03-08T23:19:32.142168,224.8,22.48,1.06,1.08,246.0
2026-03-08T23:19:32.167828,217.1,21.84,1.04,1.07,236.0
2026-03-08T23:19:32.193936,222.8,21.67,1.06,1.08,230.0
2026-03-08T23:19:32.219705,219.4,21.94,1.04,1.07,236.0
2026-03-08T23:19:32.246917,210.9,18.74,1.05,1.07,242.0
2026-03-08T23:19:32.273639,292.3,29.12,1.05,1.08,304.0
2026-03-08T23:19:32.298576,300.8,30.08,1.04,1.07,322.0
2026-03-08T23:19:32.326407,196.3,19.63,1.06,1.08,206.0
2026-03-08T23:19:32.348540,221.9,21.54,1.04,1.07,226.0
2026-03-08T23:19:32.379344,229.5,22.06,1.05,1.07,230.0
2026-03-08T23:19:32.405330,210.2,21.02,1.05,1.07,226.0
2026-03-08T23:19:32.430438,194.3,21.93,1.05,1.07,236.0
2026-03-08T23:19:32.457955,228.9,23.19,1.05,1.08,230.0
2026-03-08T23:19:32.482680,210.3,21.03,1.04,1.07,222.0
2026-03-08T23:19:32.510886,193.8,19.39,1.06,1.08,230.0
2026-03-08T23:19:32.536575,218.5,21.88,1.05,1.07,246.0
2026-03-08T23:19:32.562692,214.8,21.48,1.05,1.07,222.0
2026-03-08T23:19:32.588788,199.2,19.92,1.05,1.07,204.0
2026-03-08T23:19:32.615831,228.0,21.76,1.04,1.07,230.0
2026-03-08T23:19:32.640942,211.0,21.09,1.06,1.08,222.0
2026-03-08T23:19:32.668422,273.1,27.31,1.04,1.07,278.0
2026-03-08T23:19:32.695526,296.8,30.35,1.05,1.08,312.0
2026-03-08T23:19:32.721918,298.5,29.38,1.05,1.08,298.0
2026-03-08T23:19:32.748492,194.2,19.42,1.05,1.07,206.0
2026-03-08T23:19:32.774683,220.3,21.82,1.05,1.07,240.0
2026-03-08T23:19:32.799739,218.4,22.34,1.04,1.07,220.0
2026-03-08T23:19:32.826490,193.1,19.31,1.06,1.08,206.0
2026-03-08T23:19:32.850736,223.5,22.35,1.04,1.07,236.0
2026-03-08T23:19:32.878506,224.2,21.88,1.05,1.07,236.0
2026-03-08T23:19:32.906204,215.4,21.59,1.05,1.07,226.0
2026-03-08T23:19:32.933026,217.8,21.78,1.04,1.07,226.0
2026-03-08T23:19:32.958499,298.8,29.76,1.05,1.08,318.0
2026-03-08T23:19:32.982958,212.5,20.22,1.04,1.06,204.0
2026-03-08T23:19:33.012055,214.4,21.44,1.05,1.07,230.0
2026-03-08T23:19:33.038132,218.2,22.69,1.05,1.07,236.0
2026-03-08T23:19:33.062188,211.8,20.87,1.04,1.06,204.0
2026-03-08T23:19:33.088705,195.5,19.55,1.06,1.08,226.0
2026-03-08T23:19:33.117846,220.8,22.08,1.04,1.06,250.0
2026-03-08T23:19:33.143087,211.1,21.06,1.06,1.08,220.0
2026-03-08T23:19:33.168863,194.6,19.42,1.05,1.07,226.0
2026-03-08T23:19:33.194356,219.9,21.99,1.05,1.07,232.0
2026-03-08T23:19:33.223123,212.6,21.14,1.05,1.07,226.0
2026-03-08T23:19:33.248805,208.2,20.28,1.04,1.06,206.0
2026-03-08T23:19:33.274608,230.3,23.03,1.05,1.08,232.0
2026-03-08T23:19:33.299918,217.6,21.14,1.04,1.06,220.0
2026-03-08T23:19:33.328508,196.1,20.23,1.05,1.07,204.0
2026-03-08T23:19:33.354104,218.8,21.88,1.05,1.07,232.0
2026-03-08T23:19:33.381361,223.3,22.33,1.04,1.07,222.0
2026-03-08T23:19:33.407864,222.5,22.0,1.05,1.07,226.0
2026-03-08T23:19:33.433037,223.1,21.84,1.04,1.07,230.0
2026-03-08T23:19:33.467917,216.7,21.67,1.06,1.08,232.0
2026-03-08T23:19:33.509232,193.2,19.33,1.04,1.06,204.0
2026-03-08T23:19:33.560044,219.2,22.48,1.05,1.07,232.0
2026-03-08T23:19:33.565251,231.7,23.17,1.05,1.08,230.0
2026-03-08T23:19:33.570265,210.2,19.3,1.04,1.06,200.0
2026-03-08T23:19:33.592098,216.5,21.89,1.05,1.07,230.0
2026-03-08T23:19:33.618617,221.2,22.12,1.04,1.06,230.0
2026-03-08T23:19:33.644832,210.1,21.07,1.06,1.08,204.0
2026-03-08T23:19:33.668817,204.1,22.3,1.05,1.07,236.0
2026-03-08T23:19:33.695545,217.2,21.72,1.05,1.07,230.0
