timestamp,current_mA,shunt_voltage_mV,bus_voltage_V,load_voltage_V,power_mW
2026-02-22T01:18:47.142122,169.9,16.99,3.24,3.26,572.0
2026-02-22T01:18:48.147747,173.2,17.5,3.24,3.25,559.0
2026-02-22T01:18:49.153876,187.1,17.73,3.24,3.26,559.0
2026-02-22T01:18:50.161756,163.6,16.36,3.24,3.26,496.0
2026-02-22T01:18:51.166452,171.3,17.15,3.24,3.25,595.0
2026-02-22T01:18:52.173441,166.3,16.63,3.24,3.26,539.0
2026-02-22T01:18:53.174399,173.3,17.1,3.24,3.26,496.0
2026-02-22T01:18:54.182314,176.4,17.35,3.23,3.25,564.0
2026-02-22T01:18:55.191055,189.3,18.93,3.23,3.25,611.0
2026-02-22T01:18:56.198598,150.3,17.96,3.24,3.26,564.0
2026-02-22T01:18:57.201004,174.9,17.49,3.24,3.26,562.0
2026-02-22T01:18:58.208026,174.4,17.29,3.24,3.25,606.0
2026-02-22T01:18:59.212632,180.6,18.11,3.24,3.26,616.0
2026-02-22T01:19:00.214369,179.5,17.95,3.24,3.25,565.0
2026-02-22T01:19:01.221047,187.7,18.36,3.24,3.26,560.0
2026-02-22T01:19:02.234014,180.6,18.06,3.24,3.26,565.0
2026-02-22T01:19:03.233276,174.6,18.04,3.24,3.25,572.0
2026-02-22T01:19:04.239754,249.4,25.79,3.2,3.23,827.0
2026-02-22T01:19:05.253263,174.8,17.48,3.24,3.26,505.0
2026-02-22T01:19:06.256230,180.0,18.35,3.24,3.26,564.0
2026-02-22T01:19:07.265888,176.1,17.94,3.24,3.25,573.0
2026-02-22T01:19:08.268586,187.3,18.73,3.24,3.25,606.0
2026-02-22T01:19:09.278276,178.6,17.63,3.24,3.26,501.0
2026-02-22T01:19:10.283370,149.9,14.99,3.24,3.26,559.0
2026-02-22T01:19:11.291493,191.3,18.32,3.23,3.25,608.0
2026-02-22T01:19:12.295232,172.7,17.13,3.23,3.25,580.0
2026-02-22T01:19:13.302049,151.4,15.14,3.25,3.26,490.0
2026-02-22T01:19:14.308990,165.4,15.68,3.24,3.26,573.0
2026-02-22T01:19:15.310295,172.4,17.24,3.24,3.25,559.0
2026-02-22T01:19:16.322178,174.3,17.56,3.24,3.26,585.0
2026-02-22T01:19:17.327693,150.3,15.38,3.24,3.26,501.0
2026-02-22T01:19:18.335072,193.4,19.34,3.23,3.25,632.0
2026-02-22T01:19:19.333147,172.9,17.03,3.24,3.26,570.0
2026-02-22T01:19:20.341921,190.4,19.04,3.23,3.25,560.0
2026-02-22T01:19:21.353465,176.2,16.76,3.24,3.26,542.0
2026-02-22T01:19:22.358855,174.4,17.37,3.24,3.26,590.0
2026-02-22T01:19:23.364535,175.2,17.52,3.24,3.26,595.0
2026-02-22T01:19:24.365307,171.4,18.8,3.23,3.25,605.0
2026-02-22T01:19:25.378391,180.6,18.06,3.24,3.25,628.0
2026-02-22T01:19:26.378243,175.5,17.97,3.24,3.26,573.0
2026-02-22T01:19:27.381210,175.6,18.48,3.24,3.26,541.0
2026-02-22T01:19:28.395858,175.0,17.5,3.24,3.26,595.0
2026-02-22T01:19:29.398734,150.9,15.07,3.24,3.26,487.0
2026-02-22T01:19:30.408364,183.5,18.35,3.24,3.26,588.0
2026-02-22T01:19:31.412682,187.7,18.13,3.24,3.25,569.0
2026-02-22T01:19:32.414456,173.2,17.4,3.24,3.26,560.0
2026-02-22T01:19:33.417958,173.7,17.37,3.24,3.26,590.0
2026-02-22T01:19:34.426284,166.8,16.71,3.24,3.26,513.0
2026-02-22T01:19:35.432440,176.2,17.62,3.24,3.26,564.0
2026-02-22T01:19:36.446516,247.4,24.91,3.21,3.23,780.0
2026-02-22T01:19:37.450803,194.1,19.41,3.24,3.26,606.0
2026-02-22T01:19:38.457283,181.2,18.22,3.23,3.25,600.0
2026-02-22T01:19:39.463376,150.0,15.04,3.25,3.26,487.0
2026-02-22T01:19:40.467601,173.9,17.39,3.24,3.26,600.0
2026-02-22T01:19:41.476158,181.9,17.41,3.24,3.26,559.0
2026-02-22T01:19:42.476235,153.4,15.34,3.24,3.26,567.0
2026-02-22T01:19:43.488934,167.1,16.62,3.24,3.26,603.0
2026-02-22T01:19:44.494049,188.2,17.18,3.24,3.26,564.0
2026-02-22T01:19:45.501892,175.0,17.5,3.24,3.26,588.0
2026-02-22T01:19:46.505076,150.4,15.08,3.24,3.26,490.0
2026-02-22T01:19:47.512426,265.2,26.52,3.2,3.23,801.0
2026-02-22T01:19:48.520853,175.8,17.66,3.24,3.26,570.0
2026-02-22T01:19:49.523672,175.7,17.59,3.24,3.25,559.0
2026-02-22T01:19:50.525942,193.8,19.38,3.24,3.26,551.0
2026-02-22T01:19:51.533608,172.3,17.56,3.24,3.26,564.0
2026-02-22T01:19:52.542107,152.0,15.2,3.25,3.26,492.0
2026-02-22T01:19:53.550686,181.9,17.83,3.23,3.25,637.0
2026-02-22T01:19:54.551342,150.5,15.02,3.24,3.26,583.0
2026-02-22T01:19:55.561723,165.5,16.55,3.24,3.26,565.0
2026-02-22T01:19:56.568645,177.9,17.17,3.24,3.25,595.0
2026-02-22T01:19:57.574743,180.9,18.09,3.24,3.25,590.0
2026-02-22T01:19:58.575907,173.6,17.54,3.24,3.26,565.0
2026-02-22T01:19:59.589104,157.3,16.25,3.24,3.26,498.0
2026-02-22T01:20:00.593220,176.1,18.84,3.24,3.26,591.0
2026-02-22T01:20:01.599595,191.4,19.34,3.23,3.25,618.0
2026-02-22T01:20:02.603063,178.3,17.83,3.24,3.26,567.0
2026-02-22T01:20:03.607986,179.2,17.88,3.24,3.26,554.0
2026-02-22T01:20:04.611217,164.1,16.41,3.24,3.26,511.0
2026-02-22T01:20:05.626085,175.2,17.84,3.24,3.26,575.0
2026-02-22T01:20:06.629027,167.0,16.66,3.24,3.26,542.0
2026-02-22T01:20:07.630636,188.2,18.82,3.24,3.25,618.0
2026-02-22T01:20:08.642666,174.1,17.3,3.24,3.26,562.0
2026-02-22T01:20:09.641595,172.2,17.22,3.24,3.26,585.0
2026-02-22T01:20:10.653324,185.6,17.63,3.24,3.26,572.0
2026-02-22T01:20:11.657434,174.3,18.05,3.24,3.25,572.0
2026-02-22T01:20:12.660466,184.3,18.43,3.24,3.25,588.0
2026-02-22T01:20:13.675615,167.2,15.07,3.24,3.26,488.0
2026-02-22T01:20:14.679888,174.5,17.45,3.24,3.26,559.0
2026-02-22T01:20:15.682520,175.7,15.97,3.25,3.26,505.0
2026-02-22T01:20:16.692774,200.4,18.8,3.24,3.25,570.0
2026-02-22T01:20:17.697685,153.1,15.31,3.25,3.26,498.0
2026-02-22T01:20:18.699855,174.7,17.2,3.24,3.26,562.0
2026-02-22T01:20:19.710891,187.6,18.76,3.24,3.26,544.0
2026-02-22T01:20:20.714595,180.2,17.73,3.23,3.25,596.0
2026-02-22T01:20:21.721832,171.8,17.33,3.24,3.26,570.0
2026-02-22T01:20:22.722433,180.0,18.0,3.24,3.25,588.0
2026-02-22T01:20:23.731555,174.4,17.33,3.24,3.25,593.0
2026-02-22T01:20:24.740297,153.4,15.34,3.25,3.26,496.0
2026-02-22T01:20:25.748864,172.5,16.36,3.24,3.26,501.0
2026-02-22T01:20:26.754528,181.5,17.41,3.24,3.26,606.0
2026-02-22T01:20:27.754701,181.7,18.17,3.24,3.25,600.0
2026-02-22T01:20:28.763614,150.5,15.23,3.24,3.26,511.0
2026-02-22T01:20:29.771687,168.2,16.82,3.24,3.26,511.0
2026-02-22T01:20:30.778513,174.8,17.44,3.24,3.26,570.0
